Date,Period,Total Demand,TCQ,Net Demand
2024-02-14,43,6761.32,355.818725701596,6405.501274298404
2024-02-14,44,6621.078,355.818725701596,6265.259274298404
2024-02-14,45,6470.627,355.818725701596,6114.808274298404
2024-02-14,46,6334.559,355.818725701596,5978.740274298404
2024-02-14,47,6199.958,355.818725701596,5844.1392742984035
2024-02-14,48,5968.7919999999995,355.818725701596,5612.973274298403
2024-02-15,1,5745.030000000001,355.818725701596,5389.2112742984045
2024-02-15,2,5630.409,355.818725701596,5274.5902742984035
2024-02-15,3,5641.439,355.818725701596,5285.620274298404
2024-02-15,4,5568.746,355.818725701596,5212.927274298404
2024-02-15,5,5514.032,355.818725701596,5158.213274298404
2024-02-15,6,5467.379000000001,355.818725701596,5111.560274298405
2024-02-15,7,5432.139,355.818725701596,5076.320274298404
2024-02-15,8,5414.549,355.818725701596,5058.730274298404
2024-02-15,9,5417.104,355.818725701596,5061.285274298404
2024-02-15,10,5463.487,355.818725701596,5107.668274298404
2024-02-15,11,5558.494000000001,355.818725701596,5202.6752742984045
2024-02-15,12,5729.83,355.818725701596,5374.011274298404
2024-02-15,13,5912.059,355.818725701596,5556.240274298404
2024-02-15,14,6085.957,355.818725701596,5730.138274298404
2024-02-15,15,6266.603,355.818725701596,5910.784274298404
2024-02-15,16,6452.404,355.818725701596,6096.585274298404
2024-02-15,17,6596.954000000001,355.818725701596,6241.1352742984045
2024-02-15,18,6657.9400000000005,355.818725701596,6302.121274298404
2024-02-15,19,6667.339,355.818725701596,6311.520274298404
2024-02-15,20,6672.6939999999995,355.818725701596,6316.875274298403
2024-02-15,21,6670.206999999999,355.818725701596,6314.388274298403
2024-02-15,22,6724.148,355.818725701596,6368.329274298404
2024-02-15,23,6701.099,355.818725701596,6345.280274298404
2024-02-15,24,6718.073,355.818725701596,6362.254274298404
2024-02-15,25,6762.804,355.818725701596,6406.985274298404
2024-02-15,26,6811.354,355.818725701596,6455.535274298404
2024-02-15,27,6802.045,355.818725701596,6446.226274298404
2024-02-15,28,6816.501,355.818725701596,6460.682274298404
2024-02-15,29,6810.46,355.818725701596,6454.641274298404
2024-02-15,30,6868.432,355.818725701596,6512.613274298404
2024-02-15,31,6806.367,355.818725701596,6450.548274298404
2024-02-15,32,6873.291,355.818725701596,6517.472274298404
2024-02-15,33,6880.598,355.818725701596,6524.779274298404
2024-02-15,34,6975.847000000001,355.818725701596,6620.0282742984045
2024-02-15,35,7067.033,355.818725701596,6711.214274298404
2024-02-15,36,6945.8679999999995,355.818725701596,6590.049274298403
2024-02-15,37,6818.968,355.818725701596,6463.149274298404
2024-02-15,38,6787.6630000000005,355.818725701596,6431.844274298404
2024-02-15,39,6827.249,355.818725701596,6471.430274298404
2024-02-15,40,6856.407,355.818725701596,6500.588274298404
2024-02-15,41,6860.6669999999995,355.818725701596,6504.848274298403
2024-02-15,42,6816.875,355.818725701596,6461.056274298404
2024-02-15,43,6730.496,355.818725701596,6374.677274298404
2024-02-15,44,6587.665,355.818725701596,6231.846274298404
2024-02-15,45,6429.387,355.818725701596,6073.568274298404
2024-02-15,46,6285.921,355.818725701596,5930.102274298404
2024-02-15,47,6146.123,355.818725701596,5790.3042742984035
2024-02-15,48,5945.786,355.818725701596,5589.967274298404
2024-02-16,1,5750.659,355.818725701596,5394.8402742984035
2024-02-16,2,5636.215999999999,355.818725701596,5280.397274298403
2024-02-16,3,5616.24,355.818725701596,5260.421274298404
2024-02-16,4,5539.367,355.818725701596,5183.548274298404
2024-02-16,5,5483.942999999999,355.818725701596,5128.124274298403
2024-02-16,6,5446.9349999999995,355.818725701596,5091.116274298403
2024-02-16,7,5426.521000000001,355.818725701596,5070.7022742984045
2024-02-16,8,5412.818,355.818725701596,5056.999274298404
2024-02-16,9,5412.515,355.818725701596,5056.696274298404
2024-02-16,10,5458.762,355.818725701596,5102.943274298404
2024-02-16,11,5555.802,355.818725701596,5199.983274298404
2024-02-16,12,5722.62,355.818725701596,5366.801274298404
2024-02-16,13,5905.883000000001,355.818725701596,5550.064274298405
2024-02-16,14,6078.075,355.818725701596,5722.256274298404
2024-02-16,15,6273.885,355.818725701596,5918.066274298404
2024-02-16,16,6460.55,355.818725701596,6104.731274298404
2024-02-16,17,6595.268,355.818725701596,6239.449274298404
2024-02-16,18,6642.471,355.818725701596,6286.652274298403
2024-02-16,19,6688.103,355.818725701596,6332.284274298404
2024-02-16,20,6715.826,355.818725701596,6360.007274298404
2024-02-16,21,6732.615,355.818725701596,6376.796274298404
2024-02-16,22,6724.654,355.818725701596,6368.835274298404
2024-02-16,23,6689.606,355.818725701596,6333.787274298404
2024-02-16,24,6631.612999999999,355.818725701596,6275.794274298403
2024-02-16,25,6605.4580000000005,355.818725701596,6249.639274298404
2024-02-16,26,6669.132,355.818725701596,6313.3132742984035
2024-02-16,27,6645.138,355.818725701596,6289.319274298404
2024-02-16,28,6634.2660000000005,355.818725701596,6278.447274298404
2024-02-16,29,6617.989,355.818725701596,6262.1702742984035
2024-02-16,30,6718.891,355.818725701596,6363.0722742984035
2024-02-16,31,6904.631,355.818725701596,6548.812274298404
2024-02-16,32,6914.478,355.818725701596,6558.659274298404
2024-02-16,33,6926.018,355.818725701596,6570.199274298404
2024-02-16,34,7016.5869999999995,355.818725701596,6660.768274298403
2024-02-16,35,7001.494000000001,355.818725701596,6645.6752742984045
2024-02-16,36,6835.489,355.818725701596,6479.6702742984035
2024-02-16,37,6781.868,355.818725701596,6426.049274298404
2024-02-16,38,6817.217000000001,355.818725701596,6461.398274298404
2024-02-16,39,6870.063,355.818725701596,6514.244274298404
2024-02-16,40,6884.602,355.818725701596,6528.783274298404
2024-02-16,41,6868.102,355.818725701596,6512.283274298404
2024-02-16,42,6803.1900000000005,355.818725701596,6447.371274298404
2024-02-16,43,6704.153,355.818725701596,6348.334274298404
2024-02-16,44,6553.729,355.818725701596,6197.910274298404
2024-02-16,45,6395.39,355.818725701596,6039.571274298404
2024-02-16,46,6257.044000000001,355.818725701596,5901.225274298405
2024-02-16,47,6132.6630000000005,355.818725701596,5776.844274298404
2024-02-16,48,6004.202,355.818725701596,5648.383274298404
2024-02-17,1,5876.363,415.350537834662,5461.012462165339
2024-02-17,2,5765.566,415.350537834662,5350.215462165338
2024-02-17,3,5696.976,415.350537834662,5281.625462165338
2024-02-17,4,5619.402999999999,415.350537834662,5204.052462165338
