Year,Quarter,BVP,AVP,PNS,PRP,TCQ_Weekday,TCQ_Weekend_PH,PVQ_Weekday,PVQ_Weekend_PH,BVQ_Weekday,BVQ_Weekend_PH,TVQ_Weekday,TVQ_Weekend_PH
2023,3,184.90,184.90,49727910.5612,208.92,22501012.565315,22501012.565315,22501012.565315,22501012.565315,22501012.565315,22501012.565315,0,0
2023,4,192.64,192.64,179792001.4735,279.49,22501012.565315,22501012.565315,22501012.565315,22501012.565315,22501012.565315,22501012.565315,0,0
2024,1,214.48,214.44,15951114.5825,222.67,21306538.0959966,21306538.0959966,21306538.0959966,21306538.0959966,18306538.0959966,18306538.0959966,3000000,3000000
