Date,Period,Total Demand,TCQ,Net Demand,Type_Of_Day
2023-09-18,32,7235.86,457.18460770369,6778.67539229631,0
2023-09-18,33,7271.596,457.18460770369,6814.41139229631,0
2023-09-18,34,7116.629999999999,457.18460770369,6659.445392296309,0
2023-09-18,35,7151.893,457.18460770369,6694.70839229631,0
2023-09-18,36,7175.145,457.18460770369,6717.960392296311,0
2023-09-18,37,7130.724999999999,457.18460770369,6673.54039229631,0
2023-09-18,38,7102.829,457.18460770369,6645.64439229631,0
2023-09-18,39,7115.415999999999,457.18460770369,6658.231392296309,0
2023-09-18,40,7127.58,457.18460770369,6670.39539229631,0
2023-09-18,41,7103.0869999999995,457.18460770369,6645.90239229631,0
2023-09-18,42,7060.782,457.18460770369,6603.59739229631,0
2023-09-18,43,6986.117,457.18460770369,6528.93239229631,0
2023-09-18,44,6862.906,457.18460770369,6405.72139229631,0
2023-09-18,45,6714.119,457.18460770369,6256.93439229631,0
2023-09-18,46,6574.109,457.18460770369,6116.9243922963105,0
2023-09-18,47,6445.502,457.18460770369,5988.317392296311,0
2023-09-18,48,6281.569,457.18460770369,5824.384392296311,0
2023-09-19,1,6117.246,457.18460770369,5660.06139229631,0
2023-09-19,2,5996.005999999999,457.18460770369,5538.82139229631,0
2023-09-19,3,5913.766,457.18460770369,5456.58139229631,0
2023-09-19,4,5851.682,457.18460770369,5394.49739229631,0
2023-09-19,5,5809.438999999999,457.18460770369,5352.25439229631,0
2023-09-19,6,5760.1720000000005,457.18460770369,5302.987392296311,0
2023-09-19,7,5728.551,457.18460770369,5271.366392296311,0
2023-09-19,8,5704.723,457.18460770369,5247.53839229631,0
2023-09-19,9,5702.277,457.18460770369,5245.09239229631,0
2023-09-19,10,5730.628000000001,457.18460770369,5273.443392296311,0
2023-09-19,11,5810.56,457.18460770369,5353.375392296311,0
2023-09-19,12,5967.342,457.18460770369,5510.15739229631,0
2023-09-19,13,6149.592000000001,457.18460770369,5692.407392296311,0
2023-09-19,14,6297.743,457.18460770369,5840.558392296311,0
2023-09-19,15,6463.0650000000005,457.18460770369,6005.880392296311,0
2023-09-19,16,6674.817,457.18460770369,6217.63239229631,0
2023-09-19,17,6835.01,457.18460770369,6377.82539229631,0
2023-09-19,18,6932.275000000001,457.18460770369,6475.090392296311,0
2023-09-19,19,6984.322,457.18460770369,6527.13739229631,0
2023-09-19,20,7007.9619999999995,457.18460770369,6550.77739229631,0
2023-09-19,21,7005.357,457.18460770369,6548.17239229631,0
2023-09-19,22,6968.5740000000005,457.18460770369,6511.389392296311,0
2023-09-19,23,6906.442,457.18460770369,6449.25739229631,0
2023-09-19,24,6863.711,457.18460770369,6406.52639229631,0
2023-09-19,25,6862.822999999999,457.18460770369,6405.63839229631,0
2023-09-19,26,6928.5,457.18460770369,6471.31539229631,0
2023-09-19,27,7005.268,457.18460770369,6548.08339229631,0
2023-09-19,28,7032.069,457.18460770369,6574.884392296311,0
2023-09-19,29,7031.432,457.18460770369,6574.24739229631,0
2023-09-19,30,6920.786999999999,457.18460770369,6463.6023922963095,0
2023-09-19,31,6999.6539999999995,457.18460770369,6542.46939229631,0
2023-09-19,32,7219.342,457.18460770369,6762.15739229631,0
2023-09-19,33,7378.699,457.18460770369,6921.51439229631,0
2023-09-19,34,7393.93,457.18460770369,6936.7453922963105,0
2023-09-19,35,7362.11,457.18460770369,6904.92539229631,0
2023-09-19,36,7269.103,457.18460770369,6811.91839229631,0
2023-09-19,37,7195.438999999999,457.18460770369,6738.25439229631,0
2023-09-19,38,7151.037,457.18460770369,6693.85239229631,0
2023-09-19,39,7127.368,457.18460770369,6670.183392296311,0
2023-09-19,40,7100.250999999999,457.18460770369,6643.0663922963095,0
2023-09-19,41,7078.343,457.18460770369,6621.15839229631,0
2023-09-19,42,7045.073,457.18460770369,6587.8883922963105,0
2023-09-19,43,6980.0650000000005,457.18460770369,6522.880392296311,0
2023-09-19,44,6870.965,457.18460770369,6413.78039229631,0
2023-09-19,45,6732.723,457.18460770369,6275.53839229631,0
2023-09-19,46,6592.771,457.18460770369,6135.58639229631,0
2023-09-19,47,6457.6179999999995,457.18460770369,6000.43339229631,0
2023-09-19,48,6256.825,457.18460770369,5799.64039229631,0
2023-09-20,1,6076.229,457.18460770369,5619.04439229631,0
2023-09-20,2,5933.316000000001,457.18460770369,5476.131392296311,0
2023-09-20,3,5888.976,457.18460770369,5431.79139229631,0
2023-09-20,4,5823.844,457.18460770369,5366.65939229631,0
2023-09-20,5,5789.759,457.18460770369,5332.57439229631,0
2023-09-20,6,5727.668,457.18460770369,5270.48339229631,0
2023-09-20,7,5711.087,457.18460770369,5253.902392296311,0
2023-09-20,8,5684.4349999999995,457.18460770369,5227.25039229631,0
2023-09-20,9,5671.92,457.18460770369,5214.73539229631,0
2023-09-20,10,5681.815,457.18460770369,5224.63039229631,0
2023-09-20,11,5767.95,457.18460770369,5310.76539229631,0
2023-09-20,12,5938.503000000001,457.18460770369,5481.318392296311,0
2023-09-20,13,6121.547,457.18460770369,5664.36239229631,0
2023-09-20,14,6297.566,457.18460770369,5840.38139229631,0
2023-09-20,15,6444.327,457.18460770369,5987.14239229631,0
2023-09-20,16,6658.547,457.18460770369,6201.36239229631,0
2023-09-20,17,6816.269,457.18460770369,6359.08439229631,0
2023-09-20,18,6919.0689999999995,457.18460770369,6461.88439229631,0
2023-09-20,19,6969.094,457.18460770369,6511.90939229631,0
2023-09-20,20,7016.915,457.18460770369,6559.73039229631,0
2023-09-20,21,7029.283,457.18460770369,6572.0983922963105,0
2023-09-20,22,6979.188999999999,457.18460770369,6522.00439229631,0
2023-09-20,23,6936.698,457.18460770369,6479.5133922963105,0
2023-09-20,24,6863.943,457.18460770369,6406.75839229631,0
2023-09-20,25,6846.486,457.18460770369,6389.30139229631,0
2023-09-20,26,6896.033,457.18460770369,6438.8483922963105,0
2023-09-20,27,7041.343,457.18460770369,6584.15839229631,0
2023-09-20,28,7102.848,457.18460770369,6645.66339229631,0
2023-09-20,29,7045.347,457.18460770369,6588.16239229631,0
2023-09-20,30,7074.594,457.18460770369,6617.40939229631,0
2023-09-20,31,7106.650000000001,457.18460770369,6649.465392296311,0
2023-09-20,32,7152.951,457.18460770369,6695.76639229631,0
2023-09-20,33,7213.096,457.18460770369,6755.91139229631,0
2023-09-20,34,7262.573,457.18460770369,6805.3883922963105,0
2023-09-20,35,7254.82,457.18460770369,6797.63539229631,0
2023-09-20,36,7139.03,457.18460770369,6681.84539229631,0
2023-09-20,37,7047.386,457.18460770369,6590.201392296311,0
2023-09-20,38,7019.5650000000005,457.18460770369,6562.380392296311,0
2023-09-20,39,7038.076,457.18460770369,6580.89139229631,0
2023-09-20,40,7030.779,457.18460770369,6573.594392296311,0
2023-09-20,41,7003.841,457.18460770369,6546.6563922963105,0
2023-09-20,42,6953.647,457.18460770369,6496.46239229631,0
2023-09-20,43,6883.473,457.18460770369,6426.28839229631,0
2023-09-20,44,6759.978999999999,457.18460770369,6302.7943922963095,0
2023-09-20,45,6623.646000000001,457.18460770369,6166.461392296311,0
2023-09-20,46,6473.84,457.18460770369,6016.65539229631,0
2023-09-20,47,6327.364,457.18460770369,5870.17939229631,0
2023-09-20,48,6137.944,457.18460770369,5680.759392296311,0
2023-09-21,1,5962.878,457.18460770369,5505.69339229631,0
2023-09-21,2,5834.893,457.18460770369,5377.70839229631,0
2023-09-21,3,5774.786,457.18460770369,5317.60139229631,0
2023-09-21,4,5723.05,457.18460770369,5265.86539229631,0
2023-09-21,5,5683.674,457.18460770369,5226.48939229631,0
2023-09-21,6,5647.386,457.18460770369,5190.201392296311,0
2023-09-21,7,5602.537,457.18460770369,5145.35239229631,0
2023-09-21,8,5585.587,457.18460770369,5128.402392296311,0
2023-09-21,9,5581.959,457.18460770369,5124.77439229631,0
2023-09-21,10,5618.309,457.18460770369,5161.12439229631,0
2023-09-21,11,5681.914,457.18460770369,5224.72939229631,0
2023-09-21,12,5839.103,457.18460770369,5381.91839229631,0
2023-09-21,13,6031.03,457.18460770369,5573.84539229631,0
2023-09-21,14,6167.275,457.18460770369,5710.09039229631,0
2023-09-21,15,6333.57,457.18460770369,5876.38539229631,0
2023-09-21,16,6542.387,457.18460770369,6085.20239229631,0
2023-09-21,17,6714.544000000001,457.18460770369,6257.359392296311,0
2023-09-21,18,6806.645,457.18460770369,6349.460392296311,0
2023-09-21,19,6883.898,457.18460770369,6426.71339229631,0
2023-09-21,20,6895.287,457.18460770369,6438.10239229631,0
2023-09-21,21,6887.645,457.18460770369,6430.460392296311,0
2023-09-21,22,6853.96,457.18460770369,6396.77539229631,0
2023-09-21,23,6773.1179999999995,457.18460770369,6315.93339229631,0
2023-09-21,24,6708.5509999999995,457.18460770369,6251.36639229631,0
2023-09-21,25,6747.691,457.18460770369,6290.50639229631,0
2023-09-21,26,6782.072,457.18460770369,6324.88739229631,0
2023-09-21,27,6756.427000000001,457.18460770369,6299.242392296311,0
2023-09-21,28,6787.398,457.18460770369,6330.21339229631,0
2023-09-21,29,6827.111,457.18460770369,6369.92639229631,0
2023-09-21,30,6950.769,457.18460770369,6493.58439229631,0
2023-09-21,31,7000.048000000001,457.18460770369,6542.863392296311,0
2023-09-21,32,6942.1320000000005,457.18460770369,6484.947392296311,0
2023-09-21,33,6969.459,457.18460770369,6512.27439229631,0
2023-09-21,34,7105.874,457.18460770369,6648.68939229631,0
2023-09-21,35,7120.669,457.18460770369,6663.48439229631,0
2023-09-21,36,7060.737,457.18460770369,6603.55239229631,0
2023-09-21,37,7039.3859999999995,457.18460770369,6582.20139229631,0
2023-09-21,38,7081.58,457.18460770369,6624.39539229631,0
2023-09-21,39,7105.133,457.18460770369,6647.94839229631,0
2023-09-21,40,7123.796,457.18460770369,6666.61139229631,0
2023-09-21,41,7056.004999999999,457.18460770369,6598.820392296309,0
2023-09-21,42,6991.5160000000005,457.18460770369,6534.331392296311,0
2023-09-21,43,6902.308,457.18460770369,6445.12339229631,0
2023-09-21,44,6777.973,457.18460770369,6320.78839229631,0
2023-09-21,45,6637.349,457.18460770369,6180.16439229631,0
2023-09-21,46,6485.299,457.18460770369,6028.11439229631,0
2023-09-21,47,6355.285,457.18460770369,5898.10039229631,0
2023-09-21,48,6137.650000000001,457.18460770369,5680.465392296311,0
2023-09-22,1,5944.288,457.18460770369,5487.10339229631,0
2023-09-22,2,5815.597,457.18460770369,5358.41239229631,0
2023-09-22,3,5780.509,457.18460770369,5323.32439229631,0
2023-09-22,4,5722.575,457.18460770369,5265.39039229631,0
2023-09-22,5,5695.028,457.18460770369,5237.84339229631,0
2023-09-22,6,5646.005,457.18460770369,5188.82039229631,0
2023-09-22,7,5602.322,457.18460770369,5145.13739229631,0
2023-09-22,8,5582.624,457.18460770369,5125.43939229631,0
2023-09-22,9,5581.295999999999,457.18460770369,5124.1113922963095,0
2023-09-22,10,5603.185,457.18460770369,5146.000392296311,0
2023-09-22,11,5674.526,457.18460770369,5217.34139229631,0
2023-09-22,12,5829.0509999999995,457.18460770369,5371.86639229631,0
2023-09-22,13,6022.762000000001,457.18460770369,5565.577392296311,0
2023-09-22,14,6180.813,457.18460770369,5723.62839229631,0
2023-09-22,15,6345.604,457.18460770369,5888.41939229631,0
2023-09-22,16,6537.805,457.18460770369,6080.6203922963105,0
