Date,Period,Total Demand,TCQ,Net Demand,Type_Of_Day
2024-01-28,39,6375.387,415.350537834662,5960.036462165338,1
2024-01-28,40,6418.436,415.350537834662,6003.085462165338,1
2024-01-28,41,6470.713,415.350537834662,6055.362462165338,1
2024-01-28,42,6501.883,415.350537834662,6086.532462165338,1
2024-01-28,43,6473.378,415.350537834662,6058.027462165338,1
2024-01-28,44,6357.691,415.350537834662,5942.340462165338,1
2024-01-28,45,6224.849,415.350537834662,5809.498462165338,1
2024-01-28,46,6122.218,415.350537834662,5706.867462165338,1
2024-01-28,47,6007.109,415.350537834662,5591.758462165339,1
2024-01-28,48,5957.732,415.350537834662,5542.381462165338,1
2024-02-03,1,5894.02,415.350537834662,5478.669462165339,1
2024-02-03,2,5737.395,415.350537834662,5322.044462165339,1
2024-02-03,3,5650.847,415.350537834662,5235.496462165338,1
2024-02-03,4,5650.4400000000005,415.350537834662,5235.089462165339,1
2024-02-03,5,5585.2,415.350537834662,5169.849462165338,1
2024-02-03,6,5532.48,415.350537834662,5117.129462165338,1
2024-02-03,7,5493.5869999999995,415.350537834662,5078.236462165338,1
2024-02-03,8,5459.371,415.350537834662,5044.020462165338,1
2024-02-03,9,5451.3150000000005,415.350537834662,5035.964462165339,1
2024-02-03,10,5381.203,415.350537834662,4965.852462165339,1
2024-02-03,11,5432.556,415.350537834662,5017.205462165338,1
2024-02-03,12,5520.419,415.350537834662,5105.068462165338,1
2024-02-03,13,5621.658,415.350537834662,5206.307462165339,1
2024-02-03,14,5715.12,415.350537834662,5299.769462165338,1
2024-02-03,15,5828.1359999999995,415.350537834662,5412.785462165338,1
2024-02-03,16,5970.450000000001,415.350537834662,5555.099462165339,1
2024-02-03,17,6101.192999999999,415.350537834662,5685.842462165338,1
2024-02-03,18,6149.604,415.350537834662,5734.2534621653385,1
2024-02-03,19,6155.349,415.350537834662,5739.998462165338,1
2024-02-03,20,6167.1089999999995,415.350537834662,5751.758462165338,1
2024-02-03,21,6196.266,415.350537834662,5780.915462165338,1
2024-02-03,22,6214.676,415.350537834662,5799.325462165339,1
2024-02-03,23,6186.945000000001,415.350537834662,5771.594462165339,1
2024-02-03,24,6102.461,415.350537834662,5687.1104621653385,1
2024-02-03,25,6014.56,415.350537834662,5599.209462165339,1
2024-02-03,26,5979.147,415.350537834662,5563.796462165338,1
2024-02-03,27,5992.614,415.350537834662,5577.263462165338,1
2024-02-03,28,6028.724,415.350537834662,5613.373462165338,1
2024-02-03,29,6051.278,415.350537834662,5635.9274621653385,1
2024-02-03,30,6145.915,415.350537834662,5730.564462165338,1
2024-02-03,31,6180.394,415.350537834662,5765.0434621653385,1
2024-02-03,32,6242.790999999999,415.350537834662,5827.4404621653375,1
2024-02-03,33,6299.484,415.350537834662,5884.133462165339,1
